S No,ID,Part Number,Date,Available Quantity,Issue,Return,Order,Repair/Calibrate,Scrap,Unit Cost
1,1329,TLF-FT-044,15-04-2016,2,0,0,0,0,0,1200000
2,1329,TLF-FT-044,14-04-2016,2,0,0,0,0,0,1200000
3,1329,TLF-FT-044,13-04-2016,2,0,0,0,0,0,1200000
4,1329,TLF-FT-044,12-04-2016,2,0,0,0,0,0,1200000
5,1329,TLF-FT-044,11-04-2016,2,0,0,0,0,0,1200000
6,1329,TLF-FT-044,10-04-2016,2,0,0,0,0,0,1200000
7,1329,TLF-FT-044,09-04-2016,2,0,0,0,0,0,1200000
8,1329,TLF-FT-044,08-04-2016,2,0,0,0,0,0,1200000
9,1329,TLF-FT-044,07-04-2016,2,0,0,0,0,0,1200000
10,1329,TLF-FT-044,06-04-2016,2,0,0,0,0,0,1200000
11,1329,TLF-FT-044,05-04-2016,2,0,0,0,0,0,1200000
12,1329,TLF-FT-044,04-04-2016,2,0,0,0,0,0,1200000
13,1329,TLF-FT-044,03-04-2016,2,0,0,0,0,0,1200000
14,1329,TLF-FT-044,02-04-2016,2,1,0,0,0,0,1200000
15,1329,TLF-FT-044,01-04-2016,3,0,0,0,0,0,1200000
16,1329,TLF-FT-044,31-03-2016,3,0,0,0,0,0,1200000
17,1329,TLF-FT-044,30-03-2016,3,0,0,0,0,0,1200000
18,1329,TLF-FT-044,29-03-2016,3,0,0,0,0,0,1200000
19,1329,TLF-FT-044,28-03-2016,3,0,0,0,0,0,1200000
20,1329,TLF-FT-044,27-03-2016,3,0,0,0,0,0,1200000
21,1329,TLF-FT-044,26-03-2016,3,0,0,0,0,0,1200000
22,1329,TLF-FT-044,25-03-2016,3,0,0,0,0,0,1200000
23,1329,TLF-FT-044,24-03-2016,3,0,0,0,0,0,1200000
24,1329,TLF-FT-044,23-03-2016,3,0,0,0,0,0,1200000
25,1329,TLF-FT-044,22-03-2016,3,0,0,0,0,0,1200000
26,1329,TLF-FT-044,21-03-2016,3,0,0,0,0,0,1200000
27,1329,TLF-FT-044,20-03-2016,3,0,0,0,0,0,1200000
28,1329,TLF-FT-044,19-03-2016,3,0,0,0,0,0,1200000
29,1329,TLF-FT-044,18-03-2016,3,0,0,0,0,0,1200000
30,1329,TLF-FT-044,17-03-2016,3,0,0,0,0,0,1200000
31,1329,TLF-FT-044,16-03-2016,3,0,0,0,0,0,1200000
32,1329,TLF-FT-044,15-03-2016,3,0,0,0,0,0,1200000
33,1329,TLF-FT-044,14-03-2016,3,0,0,0,0,0,1200000
34,1329,TLF-FT-044,13-03-2016,3,0,0,0,0,0,1200000
35,1329,TLF-FT-044,12-03-2016,3,0,0,0,0,0,1200000
36,1329,TLF-FT-044,11-03-2016,3,0,0,0,0,0,1200000
37,1329,TLF-FT-044,10-03-2016,3,0,0,0,0,0,1200000
38,1329,TLF-FT-044,09-03-2016,3,0,0,0,0,0,1200000
39,1329,TLF-FT-044,08-03-2016,3,0,0,0,0,0,1200000
40,1329,TLF-FT-044,07-03-2016,3,0,0,0,0,0,1200000
41,1329,TLF-FT-044,06-03-2016,3,0,0,0,0,0,1200000
42,1329,TLF-FT-044,05-03-2016,3,0,0,0,0,0,1200000
43,1329,TLF-FT-044,04-03-2016,3,0,0,0,0,0,1200000
44,1329,TLF-FT-044,03-03-2016,3,0,0,0,0,0,1200000
45,1329,TLF-FT-044,02-03-2016,3,0,0,0,3,0,1200000
46,1329,TLF-FT-044,01-03-2016,6,0,0,0,0,0,1200000
47,1329,TLF-FT-044,29-02-2016,6,0,0,0,0,0,1200000
48,1329,TLF-FT-044,28-02-2016,6,0,0,0,0,0,1200000
49,1329,TLF-FT-044,27-02-2016,6,0,0,0,0,0,1200000
50,1329,TLF-FT-044,26-02-2016,6,0,0,0,0,0,1200000
51,1329,TLF-FT-044,25-02-2016,6,0,0,0,0,0,1200000
52,1329,TLF-FT-044,24-02-2016,6,0,0,0,0,0,1200000
53,1329,TLF-FT-044,23-02-2016,6,0,0,0,0,0,1200000
54,1329,TLF-FT-044,22-02-2016,6,0,0,0,0,0,1200000
55,1329,TLF-FT-044,21-02-2016,6,0,0,0,0,0,1200000
56,1329,TLF-FT-044,20-02-2016,6,0,0,0,0,0,1200000
57,1329,TLF-FT-044,19-02-2016,6,0,0,0,0,0,1200000
58,1329,TLF-FT-044,18-02-2016,6,0,0,0,0,0,1200000
59,1329,TLF-FT-044,17-02-2016,6,0,0,0,0,0,1200000
60,1329,TLF-FT-044,16-02-2016,6,0,0,0,0,0,1200000
61,1329,TLF-FT-044,15-02-2016,6,0,4,0,0,0,1200000
62,1329,TLF-FT-044,14-02-2016,2,0,0,0,0,0,1200000
63,1329,TLF-FT-044,13-02-2016,2,0,0,0,0,0,1200000
64,1329,TLF-FT-044,12-02-2016,2,0,0,0,0,0,1200000
65,1329,TLF-FT-044,11-02-2016,2,0,0,0,0,0,1200000
66,1329,TLF-FT-044,10-02-2016,2,0,0,0,0,0,1200000
67,1329,TLF-FT-044,09-02-2016,2,0,0,0,0,0,1200000
68,1329,TLF-FT-044,08-02-2016,2,0,0,0,0,0,1200000
69,1329,TLF-FT-044,07-02-2016,2,0,0,0,0,0,1200000
70,1329,TLF-FT-044,06-02-2016,2,0,0,0,0,0,1200000
71,1329,TLF-FT-044,05-02-2016,2,0,0,0,0,0,1200000
72,1329,TLF-FT-044,04-02-2016,2,0,0,0,0,0,1200000
73,1329,TLF-FT-044,03-02-2016,2,0,0,0,0,0,1200000
74,1329,TLF-FT-044,02-02-2016,2,0,0,0,0,0,1200000
75,1329,TLF-FT-044,01-02-2016,2,0,0,0,0,0,1200000
76,1329,TLF-FT-044,31-01-2016,2,0,0,0,0,0,1200000
77,1329,TLF-FT-044,30-01-2016,2,0,0,0,0,0,1200000
78,1329,TLF-FT-044,29-01-2016,2,0,0,0,0,0,1200000
79,1329,TLF-FT-044,28-01-2016,2,0,0,0,0,0,1200000
80,1329,TLF-FT-044,27-01-2016,2,0,0,0,0,0,1200000
