"S.No","ID","Part.Number","Date","Available.Quantity","Issue","Return","Order","Repair.Calibrate","Scrap","Unit.Cost","dev.EDD","partial.Delivery","price.Rise","discount","A1","A2","A3","P.A","F.A","intrvls"
1,1329,"TLF-FT-044","15-04-2016",2,0,0,0,0,0,1200000,-16,0,0,0,0,0,0,0.62,1.35,1
2,1329,"TLF-FT-044","14-04-2016",2,0,0,0,0,0,1200000,11,0,0,0,0,0,0,0.55,1.06,1
3,1329,"TLF-FT-044","13-04-2016",2,0,0,0,0,0,1200000,13,0,0,0,0,0,0,0.63,1.21,1
4,1329,"TLF-FT-044","12-04-2016",2,0,0,0,0,0,1200000,5,0,0,0,0,0,0,0.57,1.22,1
5,1329,"TLF-FT-044","11-04-2016",2,0,0,0,0,0,1200000,-8,0,0,0,0,0,0,0.36,1.26,1
6,1329,"TLF-FT-044","10-04-2016",2,0,0,0,0,0,1200000,4,0,0,0,0,0,0,0.73,0.64,1
7,1329,"TLF-FT-044","09-04-2016",2,0,0,0,0,0,1200000,-20,0,0,0,0,0,0,0.98,0.81,1
8,1329,"TLF-FT-044","08-04-2016",2,0,0,0,0,0,1200000,1,0,0,0,0,0,0,0.37,0.83,1
9,1329,"TLF-FT-044","07-04-2016",2,0,0,0,0,0,1200000,-1,0,0,0,0,0,0,0.55,0.65,1
10,1329,"TLF-FT-044","06-04-2016",2,0,0,0,0,0,1200000,7,0,0,0,0,0,0,0.78,1.3,1
11,1329,"TLF-FT-044","05-04-2016",2,0,0,0,0,0,1200000,1,0,0,0,0,0,0,0.66,0.78,1
12,1329,"TLF-FT-044","04-04-2016",2,0,0,0,0,0,1200000,-8,0,0,0,0,0,0,0.3,0.74,1
13,1329,"TLF-FT-044","03-04-2016",2,0,0,0,0,0,1200000,-4,0,0,0,0,0,0,0.22,1.18,1
14,1329,"TLF-FT-044","02-04-2016",2,1,0,0,0,0,1200000,8,0,0,0,0,0,0,0.63,0.82,1
15,1329,"TLF-FT-044","01-04-2016",3,0,0,0,0,0,1200000,3,0,0,0,0,0,0,0.91,1.02,1
16,1329,"TLF-FT-044","31-03-2016",3,0,0,0,0,0,1200000,7,0,0,0,0,0,0,0.57,0.81,1
17,1329,"TLF-FT-044","30-03-2016",3,0,0,0,0,0,1200000,-1,0,0,0,0,0,0,0.49,0.98,1
18,1329,"TLF-FT-044","29-03-2016",3,0,0,0,0,0,1200000,18,0,0,0,0,0,0,0.97,0.87,1
19,1329,"TLF-FT-044","28-03-2016",3,0,0,0,0,0,1200000,11,0,0,0,0,0,0,0.5,1.35,1
20,1329,"TLF-FT-044","27-03-2016",3,0,0,0,0,0,1200000,16,0,0,0,0,0,0,0.37,0.91,1
21,1329,"TLF-FT-044","26-03-2016",3,0,0,0,0,0,1200000,16,0,0,0,0,0,0,0.57,0.89,1
22,1329,"TLF-FT-044","25-03-2016",3,0,0,0,0,0,1200000,-4,0,0,0,0,0,0,0.44,1.39,1
23,1329,"TLF-FT-044","24-03-2016",3,0,0,0,0,0,1200000,-21,0,0,0,0,0,0,0.62,1.15,1
24,1329,"TLF-FT-044","23-03-2016",3,0,0,0,0,0,1200000,14,0,0,0,0,0,0,0.28,0.97,1
25,1329,"TLF-FT-044","22-03-2016",3,0,0,0,0,0,1200000,8,0,0,0,0,0,0,0.62,0.69,1
26,1329,"TLF-FT-044","21-03-2016",3,0,0,0,0,0,1200000,-2,0,0,0,0,0,0,0.67,1.14,1
27,1329,"TLF-FT-044","20-03-2016",3,0,0,0,0,0,1200000,20,0,0,0,0,0,0,0.86,0.64,1
